t,x,z,a,z_t,a_t,d
21.86199999,"[-0.07001423090696335, 0.2648811638355255]",0.406999985,stay,0.429499987,stay,FALSE
22.50199986,"[-0.07155458629131317, 0.27660390734672546]",0.429499987,stay,0.383999994,stay,FALSE
23.14099979,"[-0.0727919340133667, 0.2860187888145447]",0.383999994,stay,0.421499988,stay,FALSE
23.83099985,"[-0.07385651767253876, 0.29417526721954346]",0.421499988,stay,0.396999992,stay,FALSE
24.58299994,"[-0.07577750086784363, 0.3088303506374359]",0.396999992,stay,0.402999989,stay,FALSE
25.17999983,"[-0.07696421444416046, 0.31782111525535583]",0.402999989,stay,0.436249989,stay,FALSE
25.77699995,"[-0.07799545675516129, 0.32567667961120605]",0.436249989,stay,0.456249987,stay,FALSE
26.31799984,"[-0.07903667539358139, 0.3336099088191986]",0.456249987,stay,0.373499992,stay,FALSE
27.13399982,"[-0.08076560497283936, 0.34682711958885193]",0.373499992,stay,0.389499988,stay,FALSE
27.67699981,"[-0.08180227130651474, 0.35475051403045654]",0.389499988,stay,0.433749985,stay,FALSE
28.28599977,"[-0.08317513763904572, 0.36514273285865784]",0.433749985,stay,0.401499984,stay,FALSE
28.87799978,"[-0.08424059301614761, 0.3732696771621704]",0.401499984,stay,0.372749988,stay,FALSE
29.4849999,"[-0.08528165519237518, 0.38120514154434204]",0.372749988,stay,0.388749986,stay,FALSE
30.14599991,"[-0.08666571229696274, 0.39179182052612305]",0.388749986,stay,0.379749989,stay,FALSE
30.76699996,"[-0.0880528911948204, 0.4023456573486328]",0.379749989,stay,0.406749985,stay,FALSE
31.40499997,"[-0.08944347500801086, 0.41293591260910034]",0.406749985,stay,0.382249986,stay,FALSE
32.06499982,"[-0.09048505127429962, 0.42085835337638855]",0.382249986,stay,0.372749989,stay,FALSE
32.83599997,"[-0.0921332836151123, 0.43342316150665283]",0.372749989,stay,0.415999987,stay,FALSE
33.66599989,"[-0.09360802173614502, 0.44466033577919006]",0.415999987,stay,0.415749992,stay,FALSE
34.26899981,"[-0.09483561664819717, 0.4540695250034332]",0.415749992,stay,0.400499986,stay,FALSE
34.93899989,"[-0.09645716100931168, 0.4664110243320465]",0.400499986,stay,0.391499993,stay,FALSE
